prompt,content_word,style_word,seed,use_quantile,iou_threshold,iou_baseline_mean,iou_baseline_std,support_a_baseline,support_b_baseline,support_intersection_baseline,support_union_baseline,iou_baseline_cs_mean,iou_baseline_cs_std,support_a_baseline_cs,support_b_baseline_cs,support_intersection_baseline_cs,support_union_baseline_cs,iou_score,support_content,support_style,support_intersection,support_union
a painting of a person in the Art Nouveau style,person,Art Nouveau,3,True,0.1,0.8556569610323225,0.042738860507368005,0.9000003269740513,0.900000354221889,0.829481669834682,0.9705190113612584,0.8430651894637516,0.039551871574903016,0.9000006403241839,0.9000005722045898,0.8229241371154785,0.9770770754132952,0.8016326427459717,0.9000024795532227,0.8999996185302734,0.8009071350097656,0.9990949630737305
a painting of a person in the Art Nouveau style,person,Art Nouveau,3,False,0.2,0.8376621910503932,0.10306652249175663,0.8639746529715402,0.9451283046177456,0.8249578475952148,0.9841451099940709,0.8143473012106759,0.10312294811026188,0.8737987790788923,0.91636780330113,0.8037806919642857,0.9863858904157367,0.75860595703125,0.81622314453125,0.9423828125,0.75860595703125,1.0
a painting of a person in the Art Nouveau style,person,Art Nouveau,3,True,0.2,0.7401539036205836,0.09987442942570689,0.8000004359654018,0.800000354221889,0.6775462831769671,0.9224545070103236,0.7326840034552983,0.10237605449019127,0.8000003950936454,0.8000005994524274,0.6734412738255092,0.9265597207205636,0.6262442469596863,0.8000001907348633,0.8000011444091797,0.6161384582519531,0.9838628768920898
a painting of a person in the Art Nouveau style,person,Art Nouveau,3,False,0.3,0.6776183213506426,0.17814139189344838,0.7318408693586077,0.8568393979753767,0.6419841766357421,0.9466960906982422,0.6317486784287861,0.2000439626587954,0.7316399982997349,0.8071154185703823,0.5973885399954659,0.9413668768746513,0.4561416804790497,0.550358772277832,0.9051885604858398,0.45595550537109375,0.9995918273925781
a painting of a person in the Art Nouveau style,person,Art Nouveau,3,True,0.3,0.6180169710091182,0.14959473206082166,0.6999998092651367,0.6999998092651367,0.5274077824183873,0.8725918361118862,0.6164558231830597,0.1520710809309128,0.6999998092651367,0.6999998092651367,0.5264108521597726,0.8735887663705009,0.4547431170940399,0.6999998092651367,0.6999998092651367,0.43763065338134766,0.9623689651489258
a painting of a person in the Art Nouveau style,person,Art Nouveau,3,False,0.4,0.5134443929152829,0.23396250955434822,0.5806957789829799,0.7458772659301758,0.4500708988734654,0.8765021460396903,0.4736217614263296,0.26049779766518166,0.5773895808628627,0.6902064595903669,0.4136116164071219,0.8539844240461077,0.21614442765712738,0.33544254302978516,0.8338584899902344,0.20781898498535156,0.961482048034668
a painting of a person in the Art Nouveau style,person,Art Nouveau,3,True,0.4,0.5080685317516327,0.2011833789908624,0.6000009536743164,0.600000844682966,0.3901843752179827,0.8098174231392997,0.5136955050485474,0.20706545468783966,0.6000010626656669,0.6000010626656669,0.3926876613071987,0.8073144640241351,0.2788957357406616,0.600001335144043,0.600001335144043,0.2616910934448242,0.9383115768432617
a painting of a person in the Art Nouveau style,person,Art Nouveau,3,False,0.5,0.34235829812990104,0.2380102715341712,0.4032086508614676,0.6076207297188895,0.2641190392630441,0.7467103413173131,0.3208492562573935,0.2621369125770713,0.4042327744620187,0.550905568259103,0.24566091809953963,0.709477424621582,0.055584028363227844,0.16814804077148438,0.6941719055175781,0.04540729522705078,0.8169126510620117
a painting of a person in the Art Nouveau style,person,Art Nouveau,3,True,0.5,0.4210338096533503,0.2416444607406073,0.5000005177089146,0.5000003542218889,0.2760017122541155,0.723999159676688,0.42586133096899303,0.2506093653454609,0.5000004768371582,0.5000000681195941,0.27728564398629324,0.722714900970459,0.14745444059371948,0.5,0.5,0.12850570678710938,0.8714942932128906
a painting of a person in the Art Nouveau style,person,Art Nouveau,3,False,0.6,0.19821452398984027,0.21138132721402486,0.23241751534598215,0.47136617388044083,0.12551307678222656,0.5782706124441964,0.20095089044688003,0.23501299505327114,0.24618911743164062,0.4352926526750837,0.12684406552995955,0.5546377045767648,0.0021805560681968927,0.09191608428955078,0.5523958206176758,0.0014019012451171875,0.6429100036621094
